,mu,std
memDBp,0.123667959010655,0.3828864790794735
Evt_Deta_JetsAverage,1.0302063,0.39859575
Evt_Deta_TaggedJetsAverage,0.9441141,0.50257254
Evt_M_JetsAverage,12.935497,4.5698056
Evt_M_TaggedJetsAverage,13.421532,5.7013645
Evt_Pt_minDrTaggedJets,163.42479,93.22219
Evt_HT_tags,284.19287,139.11313
Evt_CSV_avg,0.50730145,0.11969561
Evt_JetPt_over_JetE,0.62352085,0.16139212
Evt_h1,0.034575626,0.11789273
Evt_blr_transformed,2.6556978,2.3906417
N_Jets,5.294708553393312,1.216280599327097
Reco_ttbar_toplep_m,213.38295,88.10628
Reco_ttbar_whad_m,115.29586,103.1517
Reco_JABDT_ttbar_Jet_CSV_whaddau1,0.24954897,0.31682867
Reco_JABDT_ttH_Jet_CSV_btoplep,-0.5410511,1.0933305
Reco_JABDT_tHW_log_wb_m,3.2748113,2.670786
