variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
memDBp,0.073,0.097,0.077,0.153,0.120,0.073,0.097
Evt_Deta_JetsAverage,0.170,0.055,0.068,0.021,0.025,0.066,0.043
Evt_M_TaggedJetsAverage,0.079,0.103,0.192,0.037,0.067,0.070,0.096
Evt_CSV_avg,0.105,0.129,0.149,0.268,0.156,0.104,0.055
Evt_blr_transformed,0.151,0.075,0.056,0.189,0.187,0.060,0.127
N_Jets,0.283,0.305,0.279,0.104,0.179,0.395,0.106
Reco_ttbar_toplep_m,0.039,0.091,0.047,0.060,0.093,0.025,0.236
Reco_ttbar_whad_m,0.037,0.076,0.067,0.079,0.109,0.089,0.178
Reco_JABDT_ttH_Jet_CSV_btoplep,0.027,0.031,0.019,0.020,0.014,0.036,0.018
Reco_JABDT_tHW_log_wb_m,0.036,0.039,0.045,0.070,0.050,0.081,0.045
