variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_CSV_avg_tagged,0.190,0.134,0.211,0.269,0.268,0.043,0.122
Evt_CSV_avg,0.077,0.081,0.133,0.185,0.109,0.189,0.047
Evt_M_minDrLepTag,0.039,0.026,0.023,0.026,0.025,0.019,0.136
Evt_Pt_JetsAverage,0.035,0.038,0.034,0.037,0.047,0.024,0.097
Evt_Pt_minDrTaggedJets,0.025,0.079,0.020,0.022,0.024,0.021,0.081
Evt_Deta_TaggedJetsAverage,0.056,0.077,0.108,0.037,0.041,0.096,0.059
Evt_Deta_JetsAverage,0.076,0.064,0.056,0.039,0.044,0.129,0.047
N_Jets,0.176,0.165,0.081,0.086,0.145,0.156,0.063
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.036,0.029,0.031,0.036,0.034,0.022,0.021
Reco_ttbar_toplep_m,0.020,0.035,0.026,0.040,0.042,0.011,0.115
Reco_tHq_bestJABDToutput,0.045,0.048,0.068,0.050,0.039,0.043,0.032
Reco_JABDT_tHq_abs_ljet_eta,0.042,0.044,0.056,0.026,0.038,0.107,0.045
Reco_JABDT_tHq_Jet_CSV_hdau1,0.015,0.033,0.024,0.019,0.017,0.023,0.052
Reco_JABDT_tHW_Jet_CSV_btop,0.039,0.078,0.037,0.023,0.037,0.082,0.033
memDBp,0.130,0.071,0.092,0.105,0.091,0.035,0.049
