variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
memDBp,0.073,0.083,0.068,0.107,0.094,0.073,0.093
Evt_Deta_JetsAverage,0.119,0.039,0.033,0.027,0.030,0.054,0.038
Evt_M_TaggedJetsAverage,0.051,0.114,0.150,0.039,0.046,0.068,0.060
Evt_CSV_avg,0.129,0.179,0.175,0.322,0.182,0.043,0.058
Evt_blr_transformed,0.094,0.036,0.041,0.066,0.121,0.072,0.082
N_Jets,0.226,0.267,0.236,0.203,0.197,0.314,0.123
Reco_ttbar_toplep_m,0.029,0.036,0.033,0.040,0.054,0.030,0.146
Reco_ttbar_whad_m,0.137,0.091,0.093,0.089,0.152,0.116,0.191
Reco_JABDT_ttH_Jet_CSV_btoplep,0.058,0.067,0.082,0.055,0.047,0.088,0.132
Reco_JABDT_tHW_log_wb_m,0.085,0.088,0.090,0.053,0.076,0.143,0.078
