variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_CSV_avg_tagged,0.102,0.081,0.112,0.167,0.137,0.042,0.045
Evt_CSV_avg,0.152,0.102,0.169,0.269,0.222,0.133,0.095
Evt_M_minDrLepTag,0.023,0.021,0.024,0.023,0.025,0.015,0.065
Evt_Pt_JetsAverage,0.028,0.042,0.042,0.045,0.062,0.030,0.103
Evt_Pt_minDrTaggedJets,0.026,0.070,0.021,0.022,0.020,0.021,0.097
Evt_Deta_TaggedJetsAverage,0.037,0.038,0.046,0.023,0.030,0.100,0.061
Evt_Deta_JetsAverage,0.055,0.039,0.052,0.022,0.038,0.123,0.033
N_Jets,0.218,0.184,0.154,0.168,0.234,0.183,0.114
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.028,0.020,0.030,0.034,0.035,0.022,0.022
Reco_ttbar_toplep_m,0.013,0.028,0.018,0.020,0.020,0.016,0.070
Reco_tHq_bestJABDToutput,0.085,0.078,0.101,0.051,0.047,0.088,0.066
Reco_JABDT_tHq_abs_ljet_eta,0.035,0.028,0.032,0.026,0.024,0.067,0.038
Reco_JABDT_tHq_Jet_CSV_hdau1,0.019,0.060,0.031,0.020,0.021,0.019,0.065
Reco_JABDT_tHW_Jet_CSV_btop,0.041,0.065,0.063,0.067,0.056,0.078,0.083
memDBp,0.137,0.143,0.107,0.044,0.029,0.062,0.042
