variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Reco_ttbar_toplep_m,0.021,0.024,0.023,0.018,0.017,0.014,0.044
Reco_ttbar_bestJABDToutput,0.024,0.037,0.052,0.054,0.067,0.052,0.057
Reco_ttH_toplep_m,0.053,0.015,0.025,0.014,0.016,0.016,0.028
Reco_ttH_bestJABDToutput,0.161,0.067,0.071,0.101,0.119,0.086,0.053
Reco_tHq_bestJABDToutput,0.089,0.098,0.061,0.052,0.039,0.080,0.030
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.013,0.014,0.017,0.016,0.021,0.012,0.012
Reco_JABDT_ttH_Jet_CSV_hdau2,0.023,0.024,0.047,0.031,0.036,0.025,0.028
Reco_JABDT_tHq_abs_ljet_eta,0.035,0.036,0.018,0.018,0.011,0.064,0.024
Reco_JABDT_tHq_Jet_CSV_hdau1,0.011,0.032,0.013,0.014,0.018,0.024,0.028
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.031,0.034,0.041,0.056,0.070,0.037,0.112
Reco_JABDT_tHW_Jet_CSV_btop,0.041,0.069,0.053,0.049,0.046,0.042,0.079
N_Jets,0.078,0.100,0.053,0.057,0.094,0.052,0.028
Evt_blr_transformed,0.053,0.056,0.048,0.060,0.076,0.013,0.026
Evt_Pt_minDrTaggedJets,0.016,0.060,0.032,0.026,0.018,0.020,0.075
Evt_Pt_JetsAverage,0.029,0.047,0.075,0.046,0.046,0.084,0.088
Evt_M_minDrLepTag,0.024,0.013,0.013,0.016,0.016,0.008,0.035
Evt_M_TaggedJetsAverage,0.043,0.035,0.102,0.032,0.029,0.031,0.095
Evt_M_JetsAverage,0.037,0.039,0.072,0.034,0.019,0.112,0.026
Evt_Deta_TaggedJetsAverage,0.042,0.059,0.031,0.017,0.020,0.053,0.030
Evt_Deta_JetsAverage,0.049,0.028,0.015,0.019,0.031,0.056,0.016
Evt_CSV_avg_tagged,0.025,0.033,0.020,0.069,0.041,0.027,0.019
Evt_CSV_avg,0.088,0.056,0.084,0.127,0.098,0.077,0.050
CSV[2],0.014,0.025,0.036,0.074,0.053,0.014,0.016
