,mu,std
memDBp,0.6155221,0.3894312
Reco_tHq_h_pt,154.80347,101.10203
Reco_tHq_h_dr,1.4674523,0.84635836
Reco_JABDT_tHq_log_h_pt,4.6402,1.3903047
Reco_JABDT_tHq_log_min_hdau1_pt_hdau2_pt,3.8331394,1.126277
Reco_tHW_h_pt,157.28127,95.12329
Reco_tHW_h_dr,1.5578889,0.6124189
Reco_JABDT_tHW_log_h_pt,4.8717046,0.65689063
Reco_ttH_h_dr,-0.90577954,1.2736487
Reco_ttH_h_m,20.573256,46.903904
Reco_JABDT_ttH_log_h_pt,-0.32366234,2.4738815
Reco_JABDT_ttH_log_toplep_m,-0.2241742,2.6622562
Evt_Pt_TaggedJetsAverage,94.5542,39.207245
Evt_Dr_TaggedJetsAverage,2.11097,0.25894558
Evt_M_TaggedJetsAverage,13.2418,4.740416
Evt_Pt_minDrTaggedJets,177.24463,92.36255
Evt_Pt_JetsAverage,93.51747,36.8281
