,mu,std
Evt_Deta_JetsAverage,1.0356996,0.33344343
Evt_Pt_minDrTaggedJets,183.9603,102.08803
memDBp,0.5224158,0.4113427
Reco_ttH_toplep_m,219.58043,104.35447
Reco_ttbar_bestJABDToutput,0.356001,0.110930644
Evt_Pt_JetsAverage,93.59342,36.56241
Evt_M2_minDrTaggedJets,86.346245,41.181427
Evt_blr_transformed,8.979014,3.1295426
Reco_ttH_bestJABDToutput,0.31447938,0.13797264
Reco_JABDT_tHq_abs_ljet_eta,1.4346131,0.86989826
Evt_M_TaggedJetsAverage,13.442304,4.922384
Evt_Deta_TaggedJetsAverage,0.9300252,0.39067113
Reco_tHq_bestJABDToutput,0.2563885,0.11195049
Reco_JABDT_tHW_Jet_CSV_btop,0.8924157,0.16836432
Evt_HT_tags,396.47452,177.25871
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.6170777,0.1464734
Evt_Pt_TaggedJetsAverage,96.36204,41.989468
CSV[2],0.8349051193395813,0.17293400853088822
Evt_CSV_avg_tagged,0.8393105,0.10486485
Evt_CSV_avg,0.5285352,0.09305809
