,mu,std
Evt_Pt_TaggedJetsAverage,94.465164,41.497112
Reco_tHq_bestJABDToutput,0.15353678,0.24436434
Evt_Pt_minDrTaggedJets,177.08797,96.71879
Evt_Pt_JetsAverage,93.28979,39.009792
Reco_ttH_toplep_m,42.72798,99.42111
Reco_JABDT_tHq_abs_ljet_eta,1.2100133,1.0916401
Evt_CSV_avg_tagged,0.83787096,0.10598597
Reco_JABDT_tHW_Jet_CSV_btop,0.90231097,0.16565096
Evt_M2_minDrTaggedJets,86.493805,39.3302
Evt_Deta_JetsAverage,0.9501935,0.37203082
Reco_ttbar_bestJABDToutput,0.21828638,0.13487534
Evt_HT_tags,381.82004,169.23419
memDBp,0.55883175,0.39152893
Evt_M_TaggedJetsAverage,13.275764,4.906721
Evt_Deta_TaggedJetsAverage,0.91399676,0.39076003
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.7386609,0.1507225
Reco_ttH_bestJABDToutput,-0.78441566,0.4377708
CSV[2],0.8260185371770494,0.17694896419341857
Evt_CSV_avg,0.68327034,0.08846677
Evt_blr_transformed,8.732826,3.1394088
