,mu,std
Evt_Pt_TaggedJetsAverage,96.36202,41.989468
Reco_tHq_bestJABDToutput,0.25638855,0.11195049
Evt_Pt_minDrTaggedJets,183.96033,102.08803
Evt_Pt_JetsAverage,93.59344,36.56241
Reco_ttH_toplep_m,219.5805,104.35447
Reco_JABDT_tHq_abs_ljet_eta,1.4346132,0.86989826
Evt_CSV_avg_tagged,0.8393105,0.10486485
N_Jets,6.79574832935826,1.0076807799311307
Reco_JABDT_tHW_Jet_CSV_btop,0.8924156,0.16836432
Evt_M2_minDrTaggedJets,86.34622,41.181427
Evt_Deta_JetsAverage,1.0356997,0.33344343
Reco_ttbar_bestJABDToutput,0.35600096,0.110930644
Evt_HT_tags,396.47455,177.25871
memDBp,0.52241594,0.4113427
Evt_M_TaggedJetsAverage,13.442305,4.922384
Evt_Deta_TaggedJetsAverage,0.93002534,0.39067113
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.6170778,0.1464734
Reco_ttH_bestJABDToutput,0.31447935,0.13797264
CSV[2],0.8349051193395813,0.17293400853088825
Evt_CSV_avg,0.52853507,0.09305809
Evt_blr_transformed,8.979016,3.1295426
