variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_CSV_avg_tagged,0.019,0.072,0.066,0.074,0.028,0.034,0.023
Reco_JABDT_tHW_Jet_CSV_whaddau1,0.018,0.034,0.017,0.021,0.019,0.029,0.045
Evt_M_JetsAverage,0.020,0.030,0.036,0.058,0.056,0.034,0.034
Jet_Pt[0],0.051,0.020,0.016,0.023,0.021,0.055,0.022
Evt_HT_tags,0.024,0.044,0.063,0.017,0.044,0.051,0.024
Evt_Pt_TaggedJetsAverage,0.024,0.044,0.071,0.031,0.054,0.043,0.026
Reco_JABDT_ttH_Jet_CSV_btoplep,0.046,0.023,0.016,0.023,0.017,0.033,0.016
Evt_Dr_TaggedJetsAverage,0.026,0.045,0.033,0.014,0.011,0.024,0.020
Evt_M_Total,0.055,0.061,0.046,0.054,0.058,0.063,0.175
Evt_CSV_avg,0.070,0.040,0.039,0.105,0.084,0.098,0.045
Reco_ttH_bestJABDToutput,0.077,0.029,0.018,0.030,0.037,0.033,0.017
Reco_tHq_bestJABDToutput,0.021,0.052,0.028,0.019,0.020,0.045,0.022
Evt_CSV_dev,0.013,0.021,0.017,0.024,0.017,0.018,0.011
Reco_tHW_bestJABDToutput,0.065,0.084,0.063,0.102,0.083,0.062,0.169
Reco_JABDT_tHW_Jet_CSV_btop,0.044,0.035,0.029,0.084,0.053,0.023,0.053
Reco_ttbar_bestJABDToutput,0.033,0.047,0.038,0.065,0.072,0.052,0.049
Evt_M_TaggedJetsAverage,0.048,0.062,0.187,0.046,0.074,0.067,0.028
Reco_tHW_whad_dr,0.017,0.025,0.018,0.017,0.013,0.034,0.019
N_Jets,0.050,0.041,0.031,0.024,0.019,0.020,0.024
Evt_JetPt_over_JetE,0.048,0.031,0.018,0.029,0.022,0.043,0.051
Evt_HT_jets,0.129,0.082,0.095,0.059,0.129,0.078,0.045
Evt_Pt_minDrTaggedJets,0.013,0.027,0.026,0.014,0.011,0.015,0.039
Evt_h1,0.057,0.026,0.016,0.031,0.018,0.030,0.031
Evt_blr_transformed,0.032,0.026,0.012,0.034,0.040,0.015,0.012
