,mu,std
Evt_CSV_avg_tagged,0.83017576,0.12416067
Reco_JABDT_tHW_Jet_CSV_whaddau1,-0.28878927,0.6792772
Evt_M_JetsAverage,12.935499,4.5698056
Jet_Pt[0],170.8348328769896,108.21229268719836
Evt_HT_tags,284.193,139.11313
Evt_Pt_TaggedJetsAverage,94.73096,46.371044
Reco_JABDT_ttH_Jet_CSV_btoplep,-0.5410511,1.0933305
Evt_Dr_TaggedJetsAverage,2.1589952,0.44333038
Evt_M_Total,872.8161,427.46582
Evt_CSV_avg,0.50730133,0.11969561
Reco_ttH_bestJABDToutput,-0.48243102,0.5837198
Reco_tHq_bestJABDToutput,0.15156017,0.15083256
Evt_CSV_dev,0.16619435,0.03887262
Reco_tHW_bestJABDToutput,-0.060192544,0.53317875
Reco_JABDT_tHW_Jet_CSV_btop,0.30265498,1.0075777
Reco_ttbar_bestJABDToutput,0.22662912,0.16767925
Evt_M_TaggedJetsAverage,13.421535,5.7013645
Reco_tHW_whad_dr,0.9517386,1.5992098
N_Jets,5.294708553393312,1.2162805993270975
Evt_JetPt_over_JetE,0.62352103,0.16139212
Evt_HT_jets,484.74402,244.19115
Evt_Pt_minDrTaggedJets,163.42471,93.22219
Evt_h1,0.034575656,0.11789273
Evt_blr_transformed,2.6556978,2.3906417
