variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_Deta_JetsAverage,0.035,0.023,0.012,0.018,0.025,0.053,0.015
Evt_CSV_avg_tagged,0.025,0.033,0.020,0.065,0.046,0.022,0.019
Reco_JABDT_tHq_abs_ljet_eta,0.025,0.028,0.014,0.014,0.010,0.061,0.022
Evt_M_JetsAverage,0.025,0.026,0.050,0.034,0.028,0.065,0.020
Jet_Pt[0],0.036,0.014,0.014,0.012,0.011,0.028,0.038
Evt_HT_tags,0.042,0.034,0.055,0.050,0.044,0.024,0.019
Evt_M_minDrLepTag,0.016,0.010,0.010,0.012,0.013,0.008,0.028
Reco_JABDT_ttH_Jet_CSV_hdau2,0.015,0.021,0.031,0.030,0.039,0.022,0.014
Evt_Pt_TaggedJetsAverage,0.045,0.031,0.028,0.048,0.057,0.032,0.031
Evt_Dr_TaggedJetsAverage,0.014,0.018,0.018,0.015,0.014,0.010,0.037
Evt_CSV_avg,0.067,0.047,0.080,0.086,0.070,0.071,0.044
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.031,0.030,0.035,0.051,0.059,0.035,0.091
Reco_ttH_bestJABDToutput,0.116,0.053,0.056,0.089,0.100,0.079,0.047
Reco_ttbar_toplep_m,0.015,0.021,0.019,0.014,0.015,0.013,0.040
Reco_tHq_bestJABDToutput,0.058,0.080,0.046,0.034,0.029,0.069,0.025
Evt_Pt_JetsAverage,0.019,0.042,0.023,0.034,0.034,0.038,0.050
Jet_Pt[3],0.020,0.010,0.013,0.011,0.017,0.020,0.010
Reco_JABDT_tHW_Jet_CSV_btop,0.030,0.055,0.038,0.042,0.038,0.034,0.063
Reco_ttbar_bestJABDToutput,0.020,0.028,0.047,0.045,0.058,0.053,0.051
Evt_M_TaggedJetsAverage,0.039,0.036,0.116,0.028,0.023,0.043,0.072
Jet_Pt[1],0.013,0.021,0.016,0.015,0.008,0.009,0.016
Evt_M2_minDrTaggedJets,0.043,0.074,0.045,0.018,0.014,0.022,0.037
N_Jets,0.060,0.061,0.046,0.045,0.067,0.036,0.019
CSV[2],0.012,0.026,0.030,0.062,0.039,0.015,0.011
Reco_JABDT_tHq_Jet_CSV_hdau1,0.009,0.023,0.010,0.012,0.015,0.026,0.019
Evt_Deta_TaggedJetsAverage,0.047,0.058,0.028,0.015,0.014,0.055,0.047
Reco_ttH_toplep_m,0.045,0.014,0.028,0.013,0.012,0.014,0.025
Evt_HT_jets,0.017,0.016,0.015,0.011,0.023,0.018,0.017
Evt_Pt_minDrTaggedJets,0.028,0.018,0.020,0.018,0.013,0.012,0.049
Evt_blr_transformed,0.032,0.051,0.037,0.060,0.064,0.011,0.027
