Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttH_PTH_0_60,ttH_PTH_60_120,ttH_PTH_120_200,ttH_PTH_200_300,ttH_PTH_300_450,ttH_PTH_GT450,ttH_hbb,ttH_hnonbb,ttH_hcc,ttH_htt,ttH_hgg,ttH_hgluglu,ttH_hww,ttH_hzz,ttH_hzg,ttlf,ttbb,ttbb_SL,ttbb_DL,ttbb_5FS,ttbb_split,ttb,tt2b,ttcc,singlet,tHW,tHW_hbb,tHW_hcc,tHW_htt,tHW_hgg,tHW_hgluglu,tHW_hww,tHW_hzz,tHW_hzg,tHW_hnonbb,tHq,tHq_hbb,tHq_hcc,tHq_htt,tHq_hgg,tHq_hgluglu,tHq_hww,tHq_hzz,tHq_hzg,tHq_hnonbb,zjets,wjets,ttbarW,ttbarZ,diboson,ttH_PTH_0_60_hbb,ttH_PTH_0_60_hcc,ttH_PTH_0_60_htt,ttH_PTH_0_60_hgg,ttH_PTH_0_60_hgluglu,ttH_PTH_0_60_hww,ttH_PTH_0_60_hzz,ttH_PTH_0_60_hzg,ttH_PTH_60_120_hbb,ttH_PTH_60_120_hcc,ttH_PTH_60_120_htt,ttH_PTH_60_120_hgg,ttH_PTH_60_120_hgluglu,ttH_PTH_60_120_hww,ttH_PTH_60_120_hzz,ttH_PTH_60_120_hzg,ttH_PTH_120_200_hbb,ttH_PTH_120_200_hcc,ttH_PTH_120_200_htt,ttH_PTH_120_200_hgg,ttH_PTH_120_200_hgluglu,ttH_PTH_120_200_hww,ttH_PTH_120_200_hzz,ttH_PTH_120_200_hzg,ttH_PTH_200_300_hbb,ttH_PTH_200_300_hcc,ttH_PTH_200_300_htt,ttH_PTH_200_300_hgg,ttH_PTH_200_300_hgluglu,ttH_PTH_200_300_hww,ttH_PTH_200_300_hzz,ttH_PTH_200_300_hzg,ttH_PTH_300_450_hbb,ttH_PTH_300_450_hcc,ttH_PTH_300_450_htt,ttH_PTH_300_450_hgg,ttH_PTH_300_450_hgluglu,ttH_PTH_300_450_hww,ttH_PTH_300_450_hzz,ttH_PTH_300_450_hzg,ttH_PTH_GT450_hbb,ttH_PTH_GT450_hcc,ttH_PTH_GT450_htt,ttH_PTH_GT450_hgg,ttH_PTH_GT450_hgluglu,ttH_PTH_GT450_hww,ttH_PTH_GT450_hzz,ttH_PTH_GT450_hzg
CMS_ttHbb_L1PreFiring_2017,shape,weight,"""dummyWeight_L1PreFiringUp:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(Weight_L1ECALPrefireUp/Weight_L1ECALPrefire))*DOWEIGHTS""","""dummyWeight_L1PreFiringDown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(Weight_L1ECALPrefireDown/Weight_L1ECALPrefire))*DOWEIGHTS""",-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,rate,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
QCDscale_ttH,lnN,rate,-,-,-,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058
QCDscale_tHq,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_tHW,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_ttbar,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,-,,,,,,,,,,,,,,,,,,,,,,,0.836/1.255,0.907/1.081,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_singlet,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.979/1.031,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_V,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,1.02,1.038,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_VV,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_Higgs_ttH,lnN,rate,-,-,-,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036
