variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Reco_tHq_bestJABDToutput,0.022,0.096,0.082,0.021,0.031,0.085,0.068
Jet_Pt[0],0.093,0.091,0.061,0.041,0.050,0.113,0.075
Evt_CSV_dev,0.030,0.081,0.090,0.084,0.059,0.065,0.038
Evt_HT_jets,0.276,0.125,0.134,0.174,0.205,0.115,0.122
Reco_JABDT_tHW_Jet_CSV_btop,0.053,0.075,0.063,0.120,0.107,0.060,0.095
Evt_M_JetsAverage,0.060,0.084,0.174,0.061,0.057,0.108,0.073
memDBp,0.065,0.049,0.048,0.025,0.019,0.023,0.041
Evt_CSV_avg,0.095,0.094,0.087,0.206,0.161,0.134,0.102
Reco_ttbar_bestJABDToutput,0.041,0.078,0.079,0.075,0.098,0.100,0.092
Evt_M_Total,0.119,0.087,0.088,0.033,0.055,0.076,0.184
Reco_ttH_bestJABDToutput,0.146,0.141,0.093,0.160,0.157,0.123,0.111
