,mu,std
memDBp,0.57744473,0.40369633
Reco_tHq_h_pt,164.72723,106.33817
Reco_JABDT_tHq_log_h_pt,4.64086,1.5603405
Reco_JABDT_tHq_log_min_hdau1_pt_hdau2_pt,3.7772949,1.2821016
Reco_tHW_h_pt,159.8726,105.129684
Reco_tHW_h_dr,1.3974799,0.8394032
Reco_JABDT_tHW_log_h_pt,4.665375,1.4201074
Reco_ttH_h_dr,0.82752705,1.5308269
Reco_ttH_h_m,84.85116,56.179184
Reco_JABDT_ttH_log_h_pt,3.102324,2.865378
Reco_JABDT_ttH_log_toplep_m,3.4843469,3.0285738
Evt_Pt_TaggedJetsAverage,96.41816,40.115974
Evt_Dr_TaggedJetsAverage,2.091258,0.28091827
Evt_M_TaggedJetsAverage,13.372819,4.7478013
Evt_Pt_minDrTaggedJets,183.90964,97.819336
Evt_Pt_JetsAverage,94.22884,36.24498
