sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_300_450,fiducial_xs_norm_TTH_PTH_GT450
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,GenWeight_fsr_Def_down,0.999587243643,0.999587243643,-1.0,-1.0,-1.0,-1.0,0.999587243643,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,GenWeight_fsr_Def_up,0.999403098222,0.999403098222,-1.0,-1.0,-1.0,-1.0,0.999403098222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,GenWeight_isr_Def_down,0.999531424591,0.999531424591,-1.0,-1.0,-1.0,-1.0,0.999531424591,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,GenWeight_isr_Def_up,0.999541107174,0.999541107174,-1.0,-1.0,-1.0,-1.0,0.999541107174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_306000_down,1.05626932955,1.05626932955,-1.0,-1.0,-1.0,-1.0,1.05626932955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_306000_nominal,0.994567949047,0.994567949047,-1.0,-1.0,-1.0,-1.0,0.994567949047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_306000_up,0.939677230617,0.939677230617,-1.0,-1.0,-1.0,-1.0,0.939677230617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_320900_down,1.05681871893,1.05681871893,-1.0,-1.0,-1.0,-1.0,1.05681871893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_320900_nominal,1.00001914975,1.00001914975,-1.0,-1.0,-1.0,-1.0,1.00001914975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_LHA_320900_up,0.9490136503550001,0.9490136503550001,-1.0,-1.0,-1.0,-1.0,0.9490136503550001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306000,0.994567949047,0.994567949047,-1.0,-1.0,-1.0,-1.0,0.994567949047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306001,0.9954162404019999,0.9954162404019999,-1.0,-1.0,-1.0,-1.0,0.9954162404019999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306002,0.9935897093549999,0.9935897093549999,-1.0,-1.0,-1.0,-1.0,0.9935897093549999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306003,0.9940421074429999,0.9940421074429999,-1.0,-1.0,-1.0,-1.0,0.9940421074429999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
