categories;nhistobins;minxvals;maxxvals;discrs
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==0)', 'ljets_j4_tge3_ttHnode', '');7;0.2;0.6;aachen_Out_ttH
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==0)', 'ljets_j5_tge3_ttHnode', '');10;0.16;0.6;aachen_Out_ttH
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==0)', 'ljets_jge6_tge3_ttHnode', '');12;0.17;0.7;aachen_Out_ttH
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==1)', 'ljets_j4_tge3_ttbbnode', '');7;0.16;0.6;aachen_Out_ttbarBB
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==1)', 'ljets_j5_tge3_ttbbnode', '');7;0.16;0.6;aachen_Out_ttbarBB
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==1)', 'ljets_jge6_tge3_ttbbnode', '');12;0.18;0.7;aachen_Out_ttbarBB
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==2)', 'ljets_j4_tge3_ttbnode', '');7;0.2;0.4;aachen_Out_ttbarB
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==2)', 'ljets_j5_tge3_ttbnode', '');7;0.2;0.4;aachen_Out_ttbarB
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==2)', 'ljets_jge6_tge3_ttbnode', '');7;0.18;0.35;aachen_Out_ttbarB
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==3)', 'ljets_j4_tge3_tt2bnode', '');8;0.2;0.55;aachen_Out_ttbar2B
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==3)', 'ljets_j5_tge3_tt2bnode', '');7;0.16;0.5;aachen_Out_ttbar2B
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==3)', 'ljets_jge6_tge3_tt2bnode', '');7;0.16;0.55;aachen_Out_ttbar2B
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==4)', 'ljets_j4_tge3_ttccnode', '');7;0.17;0.35;aachen_Out_ttbarCC
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==4)', 'ljets_j5_tge3_ttccnode', '');7;0.17;0.35;aachen_Out_ttbarCC
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==4)', 'ljets_jge6_tge3_ttccnode', '');7;0.21;0.3;aachen_Out_ttbarCC
('(N_Jets==4&&N_BTagsM>=3&&aachen_pred_class==5)', 'ljets_j4_tge3_ttlfnode', '');7;0.17;0.5;aachen_Out_ttbarOther
('(N_Jets==5&&N_BTagsM>=3&&aachen_pred_class==5)', 'ljets_j5_tge3_ttlfnode', '');7;0.17;0.4;aachen_Out_ttbarOther
('(N_Jets>=6&&N_BTagsM>=3&&aachen_pred_class==5)', 'ljets_jge6_tge3_ttlfnode', '');4;0.19;0.3;aachen_Out_ttbarOther
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==0)', 'ljets_jge6_tge2_ttHnode', '');12;0.17;0.7;aachen_Out_ttH
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==1)', 'ljets_jge6_tge2_ttbbnode', '');12;0.18;0.7;aachen_Out_ttbarBB
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==2)', 'ljets_jge6_tge2_ttbnode', '');7;0.18;0.35;aachen_Out_ttbarB
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==3)', 'ljets_jge6_tge2_tt2bnode', '');7;0.16;0.55;aachen_Out_ttbar2B
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==4)', 'ljets_jge6_tge2_ttccnode', '');7;0.21;0.3;aachen_Out_ttbarCC
('(N_Jets>=6&&N_BTagsM>=2&&aachen_pred_class==5)', 'ljets_jge6_tge2_ttlfnode', '');7;0.19;0.3;aachen_Out_ttbarOther
